category_code,service_code,display_name
ELECTRICIAN,ELECTRICAL_SAFETY_INSPECTION,Electrical Safety Check
ELECTRICIAN,ELECTRICAL_LOAD_CALCULATION,Electrical Load / Capacity Check
ELECTRICIAN,ELECTRICAL_PANEL_UPGRADE,Electrical Panel Upgrade
ELECTRICIAN,CIRCUIT_BREAKER_REPLACEMENT,MCB / Circuit Breaker Replacement
ELECTRICIAN,WIRE_INSULATION_REPAIR,Damaged Wire / Insulation Repair
ELECTRICIAN,UNDERGROUND_WIRING,Underground Electrical Wiring
ELECTRICIAN,OUTDOOR_LIGHTING_INSTALLATION,Outdoor Lighting Installation
ELECTRICIAN,GARDEN_LIGHTING_INSTALLATION,Garden Lighting
ELECTRICIAN,SECURITY_LIGHT_INSTALLATION,Security Light Installation
ELECTRICIAN,MOTION_SENSOR_LIGHT_INSTALLATION,Motion Sensor Light Installation
ELECTRICIAN,SMART_SWITCH_INSTALLATION,Smart Switch Installation
ELECTRICIAN,SMART_LIGHT_INSTALLATION,Smart Light Installation
ELECTRICIAN,HOME_AUTOMATION_WIRING,Home Automation Wiring
ELECTRICIAN,CCTV_POWER_WIRING,CCTV Power & Wiring
ELECTRICIAN,SOLAR_PANEL_WIRING,Solar Panel Electrical Wiring
ELECTRICIAN,SOLAR_INVERTER_INSTALLATION,Solar Inverter Installation
ELECTRICIAN,EV_CHARGER_INSTALLATION,EV Charger Installation
ELECTRICIAN,EV_CHARGING_POINT_WIRING,EV Charging Point Installation / Wiring
ELECTRICIAN,ELECTRIC_DOOR_LOCK_WIRING,Electric Door Lock Wiring
ELECTRICIAN,ELECTRIC_GATE_WIRING,Electric Gate Wiring
ELECTRICIAN,WATER_PUMP_WIRING,Water Pump Wiring
ELECTRICIAN,WATER_PUMP_MOTOR_REPAIR,Water Pump / Motor Repair
ELECTRICIAN,BOREWELL_MOTOR_WIRING,Borewell Motor Wiring
ELECTRICIAN,SUBMERSIBLE_PUMP_WIRING,Submersible Pump Wiring
ELECTRICIAN,AIR_CURTAIN_INSTALLATION,Air Curtain Installation
ELECTRICIAN,ELECTRIC_CHIMNEY_REPAIR,Electric Chimney Repair
ELECTRICIAN,ELECTRIC_GEYSER_REPAIR,Electric Geyser Repair
ELECTRICIAN,VOLTAGE_STABILIZER_REPAIR,Voltage Stabilizer Repair
ELECTRICIAN,UPS_INSTALLATION,UPS / Inverter Installation
ELECTRICIAN,UPS_REPAIR,UPS Repair
ELECTRICIAN,BATTERY_BACKUP_WIRING,Battery Backup Wiring
ELECTRICIAN,METER_BOX_INSTALLATION,Meter Box Installation
ELECTRICIAN,ELECTRIC_METER_REPAIR,Electric Meter Repair
ELECTRICIAN,THREE_PHASE_WIRING,Three-Phase Electrical Wiring
ELECTRICIAN,INDUSTRIAL_WIRING,Industrial Electrical Wiring
ELECTRICIAN,COMMERCIAL_WIRING,Commercial Electrical Wiring
ELECTRICIAN,OFFICE_WIRING,Office Electrical Wiring
ELECTRICIAN,SHOP_WIRING,Shop Electrical Wiring
ELECTRICIAN,SHOWROOM_LIGHTING_SETUP,Showroom Lighting Setup
ELECTRICIAN,FALSE_CEILING_LIGHTING,False Ceiling Lights Installation
ELECTRICIAN,COVE_LIGHTING_INSTALLATION,Cove Lighting Installation
ELECTRICIAN,SPOTLIGHT_INSTALLATION,Spotlight Installation
ELECTRICIAN,TRACK_LIGHTING_INSTALLATION,Track Light Installation
ELECTRICIAN,EMERGENCY_LIGHT_INSTALLATION,Emergency Light Installation
ELECTRICIAN,EMERGENCY_LIGHT_REPAIR,Emergency Light Repair
ELECTRICIAN,FIRE_ALARM_WIRING,Fire Alarm Wiring
ELECTRICIAN,SMOKE_DETECTOR_WIRING,Smoke Detector Installation
ELECTRICIAN,HOT_PLATE_WIRING,Hot Plate Wiring
ELECTRICIAN,INDUCTION_COOKTOP_WIRING,Induction Cooktop Wiring
ELECTRICIAN,ELECTRIC_OVEN_WIRING,Electric Oven Wiring
ELECTRICIAN,BATHROOM_EXHAUST_WIRING,Bathroom Exhaust Wiring
ELECTRICIAN,BATHROOM_HEATER_INSTALLATION,Bathroom Heater Installation
ELECTRICIAN,ROOM_HEATER_WIRING,Room Heater Wiring
ELECTRICIAN,ELECTRIC_CURTAIN_WIRING,Electric Curtain Wiring
ELECTRICIAN,AUTOMATIC_GATE_MOTOR_WIRING,Automatic Gate Motor Wiring
ELECTRICIAN,ELEVATOR_WIRING,Elevator Wiring
ELECTRICIAN,STAIRCASE_LIGHTING,Staircase Lighting
ELECTRICIAN,AMPLIFIER_AND_SPEAKER_WIRING,Amplifier and Speaker Wiring
ELECTRICIAN,DOORFRAME_SENSOR_WIRING,Doorframe Sensor Wiring
ELECTRICIAN,ELECTRIC_FENCE_WIRING,Electric Fence Installation / Wiring
PLUMBER,TAP_INSTALLATION,Tap Installation
PLUMBER,TAP_REPAIR,Tap Repair
PLUMBER,PIPE_LEAK_REPAIR,Pipe Leakage Repair
PLUMBER,PIPE_FITTING_INSTALLATION,Pipe Fittings Installation
PLUMBER,PIPE_REPLACEMENT,Pipe Replacement
PLUMBER,BATHROOM_FITTING,Bathroom Fittings Installation
PLUMBER,KITCHEN_SINK_INSTALLATION,Kitchen Sink Installation
PLUMBER,KITCHEN_SINK_REPAIR,Kitchen Sink Repair
PLUMBER,WASH_BASIN_INSTALLATION,Wash Basin Installation
PLUMBER,WASH_BASIN_REPAIR,Wash Basin Repair
PLUMBER,TOILET_INSTALLATION,Toilet Installation
PLUMBER,TOILET_REPAIR,Toilet Repair
PLUMBER,FLUSH_TANK_REPAIR,Flush Tank Repair
PLUMBER,FLUSH_TANK_INSTALLATION,Flush Tank Installation
PLUMBER,SHOWER_INSTALLATION,Shower Installation
PLUMBER,SHOWER_REPAIR,Shower Repair
PLUMBER,WATER_HEATER_INSTALLATION,Water Heater Installation
PLUMBER,WATER_HEATER_REPAIR,Water Heater Repair
PLUMBER,GEYSER_INSTALLATION,Geyser Installation
PLUMBER,GEYSER_REPAIR,Geyser Repair
PLUMBER,WATER_TANK_CLEANING,Water Tank Cleaning
PLUMBER,WATER_TANK_INSTALLATION,Water Tank Installation
PLUMBER,WATER_TANK_LEAK_REPAIR,Water Tank Leakage Repair
PLUMBER,OVERHEAD_TANK_FITTING,Overhead Tank Fitting
PLUMBER,UNDERGROUND_TANK_FITTING,Underground Tank Fitting
PLUMBER,DRAINAGE_CLEANING,Drain Cleaning
PLUMBER,DRAIN_PIPE_UNCLOGGING,Blocked Drain / Pipe Cleaning
PLUMBER,SEWER_LINE_CLEANING,Sewer Line Cleaning
PLUMBER,SEWER_PIPE_REPAIR,Sewer Pipe Repair
PLUMBER,BATHROOM_RENOVATION_PLUMBING,Bathroom Renovation Plumbing
PLUMBER,KITCHEN_RENOVATION_PLUMBING,Kitchen Renovation Plumbing
PLUMBER,WATER_MOTOR_INSTALLATION,Water Motor Installation
PLUMBER,WATER_MOTOR_REPAIR,Water Motor Repair
PLUMBER,SUBMERSIBLE_PUMP_INSTALLATION,Submersible Pump Installation
PLUMBER,BOREWELL_PIPE_FITTING,Borewell Pipe Fitting
PLUMBER,RO_WATER_PURIFIER_PLUMBING,RO / Water Purifier Plumbing
PLUMBER,WATER_FILTER_INSTALLATION,Water Filter Installation
PLUMBER,WATER_SOFTENER_INSTALLATION,Water Softener Installation
PLUMBER,SUMP_CLEANING,Sump Cleaning
PLUMBER,SUMP_PUMP_REPAIR,Sump Pump Repair
PLUMBER,PIPE_INSULATION,Pipe Insulation
PLUMBER,COPPER_PIPE_FITTING,Copper Pipe Fitting
PLUMBER,PVC_PIPE_FITTING,PVC Pipe Fitting
PLUMBER,CPVC_PIPE_FITTING,CPVC Pipe Fitting
PLUMBER,ANGLE_VALVE_INSTALLATION,Angle Valve Installation
PLUMBER,ANGLE_VALVE_REPAIR,Angle Valve Repair
PLUMBER,MIXER_TAP_INSTALLATION,Mixer Tap Installation
PLUMBER,HEALTH_FAUCET_INSTALLATION,Health Faucet / Jet Spray Installation
PLUMBER,HEALTH_FAUCET_REPAIR,Health Faucet / Jet Spray Repair
PLUMBER,BIDET_INSTALLATION,Bidet Installation
PLUMBER,WATER_METER_INSTALLATION,Water Meter Installation
PLUMBER,WATER_METER_REPAIR,Water Meter Repair
PLUMBER,GAS_PIPELINE_FITTING,Gas Pipeline Fitting
PLUMBER,SOLAR_WATER_HEATER_PLUMBING,Solar Water Heater Plumbing
PLUMBER,FIRE_SPRINKLER_PLUMBING,Fire Sprinkler Plumbing
PLUMBER,WATER_PRESSURE_BOOSTER_INSTALLATION,Water Pressure Booster Installation
PLUMBER,SINK_TRAP_REPAIR,Sink Trap / Waste Pipe Repair
PLUMBER,P_TRAP_INSTALLATION,P-Trap Installation
PLUMBER,BATHROOM_WATERPROOFING,Bathroom Waterproofing
PLUMBER,KITCHEN_WATERPROOFING,Kitchen Waterproofing
PLUMBER,TERRACE_WATERPROOFING_PLUMBING,Terrace Waterproofing Plumbing
PLUMBER,FRENCH_DRAIN_INSTALLATION,French Drain Installation
PLUMBER,STORMWATER_DRAIN_FITTING,Stormwater Drain Fitting
PLUMBER,GARDEN_IRRIGATION_PLUMBING,Garden Irrigation Plumbing
PLUMBER,SWIMMING_POOL_PLUMBING,Swimming Pool Plumbing
PLUMBER,WATER_SOFTENER_REPAIR,Water Softener Repair
PLUMBER,COMMODE_SEAT_REPLACEMENT,Toilet Seat Replacement
PLUMBER,WALL_MOUNTED_TOILET_INSTALLATION,Wall Mounted Toilet Installation
PLUMBER,SINK_FAUCET_REPLACEMENT,Sink Faucet Replacement
PLUMBER,KITCHEN_FAUCET_REPAIR,Kitchen Faucet Repair
PLUMBER,WASHBASIN_PIPE_LEAK_FIX,Washbasin Pipe Leak Fix
PLUMBER,BATHROOM_PIPE_LEAK_FIX,Bathroom Pipe Leak Fix
PLUMBER,WATER_LINE_EXTENSION,New Water Line Extension
PLUMBER,NEW_BATHROOM_PLUMBING_SETUP,New Bathroom Plumbing
PLUMBER,NEW_KITCHEN_PLUMBING_SETUP,New Kitchen Plumbing
PLUMBER,WATER_INLET_VALVE_REPAIR,Water Inlet Valve Repair
PLUMBER,OUTLET_PIPE_FITTING,Outlet Pipe Fitting
PLUMBER,SEPTIC_TANK_PLUMBING,Septic Tank Plumbing
PLUMBER,GREASE_TRAP_INSTALLATION,Grease Trap Installation
PLUMBER,COMMERCIAL_KITCHEN_PLUMBING,Commercial Kitchen Plumbing
PLUMBER,OFFICE_WASHROOM_PLUMBING,Office Washroom Plumbing
PLUMBER,HOSTEL_PLUMBING_SETUP,Hostel Plumbing Setup
PLUMBER,APARTMENT_PLUMBING_MAINTENANCE,Apartment Plumbing Maintenance
PLUMBER,EMERGENCY_PIPE_BURST_REPAIR,Emergency Pipe Burst Repair
PLUMBER,WATER_HAMMER_FIX,Water Hammer / Pipe Noise Fix
PLUMBER,LOW_WATER_PRESSURE_FIX,Low Water Pressure Fix
PLUMBER,BLOCKED_TOILET_FIX,Blocked Toilet Repair
PLUMBER,BLOCKED_SINK_FIX,Blocked Sink Repair
PLUMBER,BATHTUB_INSTALLATION,Bathtub Installation
PLUMBER,BATHTUB_REPAIR,Bathtub Repair
PLUMBER,JACUZZI_PLUMBING,Jacuzzi Plumbing
PLUMBER,STEAM_ROOM_PLUMBING,Steam Room Plumbing
PLUMBER,WATER_COOLER_PLUMBING,Water Cooler Plumbing
PLUMBER,AQUARIUM_PLUMBING_SETUP,Aquarium Plumbing Setup
CARPENTER,WARDROBE_INSTALLATION,Wardrobe Installation
CARPENTER,WARDROBE_REPAIR,Wardrobe Repair
CARPENTER,MODULAR_KITCHEN_INSTALLATION,Modular Kitchen Installation
CARPENTER,KITCHEN_CABINET_REPAIR,Kitchen Cabinet Repair
CARPENTER,BED_FRAME_ASSEMBLY,Bed Frame Assembly
CARPENTER,BED_FRAME_REPAIR,Bed Frame Repair
CARPENTER,SOFA_REPAIR,Sofa Repair
CARPENTER,CHAIR_REPAIR,Chair Repair
CARPENTER,TABLE_REPAIR,Table Repair
CARPENTER,DINING_TABLE_ASSEMBLY,Dining Table Assembly
CARPENTER,STUDY_TABLE_INSTALLATION,Study Table Installation
CARPENTER,BOOKSHELF_INSTALLATION,Bookshelf Installation
CARPENTER,BOOKSHELF_REPAIR,Bookshelf Repair
CARPENTER,TV_UNIT_INSTALLATION,TV Unit Installation
CARPENTER,TV_UNIT_REPAIR,TV Unit Repair
CARPENTER,SHOE_RACK_INSTALLATION,Shoe Rack Installation
CARPENTER,DOOR_INSTALLATION,Door Installation
CARPENTER,DOOR_REPAIR,Door Repair
CARPENTER,DOOR_FRAME_REPAIR,Door Frame Repair
CARPENTER,WINDOW_FRAME_REPAIR,Window Frame Repair
CARPENTER,WINDOW_INSTALLATION,Window Installation
CARPENTER,CUPBOARD_INSTALLATION,Cupboard Installation
CARPENTER,CUPBOARD_REPAIR,Cupboard Repair
CARPENTER,DRAWER_REPAIR,Drawer Repair
CARPENTER,DRAWER_TRACK_REPLACEMENT,Drawer Track Replacement
CARPENTER,HINGE_REPLACEMENT,Hinge Replacement
CARPENTER,LOCK_FITTING,Lock Fitting
CARPENTER,HANDLE_REPLACEMENT,Handle Replacement
CARPENTER,FALSE_CEILING_CARPENTRY,False Ceiling Carpentry
CARPENTER,PARTITION_WALL_INSTALLATION,Partition Wall Installation
CARPENTER,WOODEN_PARTITION,Wooden Partition
CARPENTER,LOFT_INSTALLATION,Loft Installation
CARPENTER,STORAGE_LOFT_REPAIR,Storage Loft Repair
CARPENTER,WOODEN_FLOORING_INSTALLATION,Wooden Flooring Installation
CARPENTER,WOODEN_FLOORING_REPAIR,Wooden Flooring Repair
CARPENTER,LAMINATE_FLOORING_INSTALLATION,Laminate Flooring Installation
CARPENTER,PLYWOOD_CUTTING_AND_FITTING,Plywood Cutting and Fitting
CARPENTER,FURNITURE_POLISHING,Furniture Polishing
CARPENTER,FURNITURE_REPOLISHING,Furniture Repolishing
CARPENTER,FURNITURE_ASSEMBLY,Furniture Assembly
CARPENTER,FURNITURE_DISASSEMBLY,Furniture Disassembly
CARPENTER,CUSTOM_FURNITURE_MAKING,Custom Furniture Making
CARPENTER,WOODEN_STAIRCASE_REPAIR,Wooden Staircase Repair
CARPENTER,WOODEN_RAILING_INSTALLATION,Wooden Railing Installation
CARPENTER,POOJA_ROOM_UNIT_INSTALLATION,Pooja Room Unit Installation
CARPENTER,CROCKERY_UNIT_INSTALLATION,Crockery Unit Installation
CARPENTER,DRESSING_TABLE_INSTALLATION,Dressing Table Installation
CARPENTER,DRESSING_TABLE_REPAIR,Dressing Table Repair
CARPENTER,WOODEN_CEILING_DESIGN,Wooden Ceiling Design
CARPENTER,PANELLING_INSTALLATION,Panelling Installation
CARPENTER,WALL_PANELLING,Wall Panelling
CARPENTER,WOODEN_PARTITION_REPAIR,Wooden Partition Repair
CARPENTER,BUNK_BED_ASSEMBLY,Bunk Bed Assembly
CARPENTER,KIDS_FURNITURE_ASSEMBLY,Kids Furniture Assembly
CARPENTER,OFFICE_FURNITURE_ASSEMBLY,Office Furniture Assembly
CARPENTER,OFFICE_CABIN_PARTITION,Office Cabin Partition
CARPENTER,WORKSTATION_ASSEMBLY,Workstation Assembly
CARPENTER,RECEPTION_DESK_INSTALLATION,Reception Desk Installation
CARPENTER,WOODEN_DOOR_PAINTING_PREP,Wooden Door Painting Prep
CARPENTER,TERMITE_DAMAGE_REPAIR_CARPENTRY,Termite Damage Repair Carpentry
CARPENTER,WOOD_ROT_REPAIR,Wood Rot Repair
CARPENTER,FURNITURE_LEG_REPLACEMENT,Furniture Leg Replacement
CARPENTER,TABLE_TOP_REPLACEMENT,Table Top Replacement
CARPENTER,CABINET_SHELF_FITTING,Cabinet Shelf Fitting
CARPENTER,SLIDING_DOOR_INSTALLATION,Sliding Door Installation
CARPENTER,SLIDING_WARDROBE_REPAIR,Sliding Wardrobe Repair
CARPENTER,WOODEN_WINDOW_REPAIR,Wooden Window Repair
CARPENTER,WOODEN_GATE_INSTALLATION,Wooden Gate Installation
CARPENTER,WOODEN_GATE_REPAIR,Wooden Gate Repair
CARPENTER,CURTAIN_ROD_FITTING,Curtain Rod Fitting
CARPENTER,BLIND_FITTING_CARPENTRY,Blind Fitting Carpentry
CARPENTER,WOODEN_ALMIRAH_REPAIR,Wooden Almirah Repair
CARPENTER,WOODEN_COT_REPAIR,Wooden Cot Repair
CARPENTER,WOODEN_COT_ASSEMBLY,Wooden Cot Assembly
CARPENTER,STUDY_CHAIR_REPAIR,Study Chair Repair
CARPENTER,WOODEN_PARTITION_CABIN,Wooden Partition Cabin
CARPENTER,WOODEN_CEILING_PANEL_REPAIR,Wooden Ceiling Panel Repair
CARPENTER,WOODEN_SKIRTING_INSTALLATION,Wooden Skirting Installation
CARPENTER,KITCHEN_TROLLEY_INSTALLATION,Kitchen Trolley Installation
CARPENTER,WOODEN_TROLLEY_REPAIR,Wooden Trolley Repair
CARPENTER,WALL_MOUNTED_SHELF_INSTALLATION,Wall Mounted Shelf Installation
CARPENTER,WALL_MOUNTED_CABINET_INSTALLATION,Wall Mounted Cabinet Installation
CARPENTER,WOODEN_SOFA_FRAME_REPAIR,Wooden Sofa Frame Repair
CARPENTER,FURNITURE_WATERPROOF_COATING,Furniture Waterproof Coating
CARPENTER,TERMITE_PROOFING_CARPENTRY,Termite Proofing Carpentry
CARPENTER,WOODEN_DECK_INSTALLATION,Wooden Deck Installation
CARPENTER,GARDEN_FURNITURE_REPAIR,Garden Furniture Repair
CARPENTER,OUTDOOR_WOODEN_FURNITURE_MAKING,Outdoor Wooden Furniture Making
CARPENTER,WOODEN_PERGOLA_INSTALLATION,Wooden Pergola Installation
PAINTER,INTERIOR_WALL_PAINTING,Interior Wall Painting
PAINTER,EXTERIOR_WALL_PAINTING,Exterior Wall Painting
PAINTER,CEILING_PAINTING,Ceiling Painting
PAINTER,SINGLE_ROOM_PAINTING,Single Room Painting
PAINTER,FULL_HOME_PAINTING,Full Home Painting
PAINTER,APARTMENT_PAINTING,Apartment Painting
PAINTER,OFFICE_PAINTING,Office Painting
PAINTER,SHOP_PAINTING,Shop Painting
PAINTER,TEXTURE_PAINTING,Texture Painting
PAINTER,WALL_TEXTURE_DESIGN,Wall Texture Design
PAINTER,WALLPAPER_INSTALLATION,Wallpaper Installation
PAINTER,WALLPAPER_REMOVAL,Wallpaper Removal
PAINTER,WATERPROOF_PAINT_COATING,Waterproof Paint Coating
PAINTER,DAMP_WALL_TREATMENT,Damp Wall Treatment
PAINTER,CRACK_FILLING_AND_PAINTING,Crack Filling and Painting
PAINTER,PUTTY_WORK,Putty Work
PAINTER,PRIMER_COATING,Primer Coating
PAINTER,ENAMEL_PAINT_WORK,Enamel Paint Work
PAINTER,WOOD_PAINT_FINISHING,Wood Paint Finishing
PAINTER,METAL_GRILL_PAINTING,Metal Grill Painting
PAINTER,METAL_GATE_PAINTING,Metal Gate Painting
PAINTER,DOOR_PAINTING,Door Painting
PAINTER,WINDOW_PAINTING,Window Painting
PAINTER,WOODEN_FURNITURE_PAINTING,Wooden Furniture Painting
PAINTER,WALL_STENCIL_DESIGN,Wall Stencil Design
PAINTER,TWO_TONE_WALL_PAINTING,Two Tone Wall Painting
PAINTER,ACCENT_WALL_PAINTING,Accent Wall Painting
PAINTER,KIDS_ROOM_THEMED_PAINTING,Kids Room Themed Painting
PAINTER,FALSE_CEILING_PAINTING,False Ceiling Painting
PAINTER,POP_CEILING_PAINTING,POP Ceiling Painting
PAINTER,DISTEMPER_PAINTING,Distemper Painting
PAINTER,EMULSION_PAINT_APPLICATION,Emulsion Paint Application
PAINTER,WEATHERPROOF_EXTERIOR_COATING,Weatherproof Exterior Coating
PAINTER,RUST_REMOVAL_AND_PAINTING,Rust Removal and Painting
PAINTER,GRILL_ANTI_RUST_COATING,Grill Anti Rust Coating
PAINTER,BALCONY_PAINTING,Balcony Painting
PAINTER,TERRACE_WATERPROOF_PAINTING,Terrace Waterproof Painting
PAINTER,COMPOUND_WALL_PAINTING,Compound Wall Painting
PAINTER,BOUNDARY_WALL_PAINTING,Boundary Wall Painting
PAINTER,NEW_CONSTRUCTION_PAINTING,New Construction Painting
PAINTER,REPAINTING_OLD_WALLS,Repainting Old Walls
PAINTER,COLOR_CONSULTATION,Color Consultation
PAINTER,SPRAY_PAINTING_WALLS,Spray Painting Walls
PAINTER,ROLLER_PAINTING,Roller Painting
PAINTER,BRUSH_FINISH_PAINTING,Brush Finish Painting
PAINTER,TEXTURED_CEILING_DESIGN,Textured Ceiling Design
PAINTER,MURAL_PAINTING,Mural Painting
PAINTER,WALL_ART_PAINTING,Wall Art Painting
PAINTER,STAIRCASE_PAINTING,Staircase Painting
PAINTER,CORRIDOR_PAINTING,Corridor Painting
PAINTER,LOBBY_PAINTING,Lobby Painting
PAINTER,BUILDING_EXTERIOR_REPAINTING,Building Exterior Repainting
PAINTER,SOCIETY_BUILDING_PAINTING,Society Building Painting
PAINTER,SCHOOL_PAINTING,School Painting
PAINTER,HOSPITAL_PAINTING,Hospital Painting
PAINTER,RESTAURANT_INTERIOR_PAINTING,Restaurant Interior Painting
PAINTER,SHOWROOM_PAINTING,Showroom Painting
PAINTER,WAREHOUSE_PAINTING,Warehouse Painting
PAINTER,FACTORY_WALL_PAINTING,Factory Wall Painting
PAINTER,FENCE_PAINTING,Fence Painting
PAINTER,GATE_REPAINTING,Gate Repainting
PAINTER,RAILING_PAINTING,Railing Painting
PAINTER,PIPE_PAINTING,Pipe Painting
PAINTER,WATER_TANK_PAINTING_EXTERIOR,Water Tank Painting Exterior
PAINTER,ROOF_PAINTING,Roof Painting
PAINTER,TERRACOTTA_COATING,Terracotta Coating
PAINTER,TEXTURED_EXTERIOR_FINISH,Textured Exterior Finish
PAINTER,SANDBLAST_TEXTURE_FINISH,Sandblast Texture Finish
PAINTER,MARBLE_FINISH_WALL_PAINT,Marble Finish Wall Paint
PAINTER,METALLIC_WALL_FINISH,Metallic Wall Finish
PAINTER,GLOW_IN_DARK_PAINT_APPLICATION,Glow in Dark Paint Application
PAINTER,PU_PAINT_WOOD_FINISH,PU Paint Wood Finish
PAINTER,MELAMINE_POLISH,Melamine Polish
PAINTER,FRENCH_POLISH,French Polish
PAINTER,DUCO_PAINT_FINISH,Duco Paint Finish
PAINTER,LAMINATE_PEEL_OFF_REPAINTING,Laminate Peel Off Repainting
PAINTER,OLD_PAINT_REMOVAL,Old Paint Removal
PAINTER,WALL_SANDING_AND_PREP,Wall Sanding and Prep
PAINTER,CRACK_SEALANT_APPLICATION,Crack Sealant Application
PAINTER,ANTI_FUNGAL_WALL_TREATMENT,Anti Fungal Wall Treatment
PAINTER,HEAT_REFLECTIVE_ROOF_PAINTING,Heat Reflective Roof Painting
CLEANING,FULL_HOME_DEEP_CLEANING,Full Home Deep Cleaning
CLEANING,KITCHEN_DEEP_CLEANING,Kitchen Deep Cleaning
CLEANING,BATHROOM_DEEP_CLEANING,Bathroom Deep Cleaning
CLEANING,SOFA_CLEANING,Sofa Cleaning
CLEANING,CARPET_CLEANING,Carpet Cleaning
CLEANING,MATTRESS_CLEANING,Mattress Cleaning
CLEANING,CURTAIN_CLEANING,Curtain Cleaning
CLEANING,WINDOW_CLEANING,Window Cleaning
CLEANING,BALCONY_CLEANING,Balcony Cleaning
CLEANING,TERRACE_CLEANING,Terrace Cleaning
CLEANING,WATER_TANK_CLEANING,Water Tank Cleaning
CLEANING,CHIMNEY_CLEANING,Chimney Cleaning
CLEANING,FRIDGE_CLEANING,Fridge Cleaning
CLEANING,WASHING_MACHINE_CLEANING,Washing Machine Cleaning
CLEANING,AC_DUCT_CLEANING,AC Duct Cleaning
CLEANING,SOFA_SHAMPOOING,Sofa Shampooing
CLEANING,CARPET_SHAMPOOING,Carpet Shampooing
CLEANING,FLOOR_SCRUBBING,Floor Scrubbing & Machine Cleaning
CLEANING,MARBLE_FLOOR_POLISHING,Marble Floor Polishing
CLEANING,TILE_CLEANING,Tile & Floor Tile Cleaning
CLEANING,GROUT_CLEANING,Tile Grout Cleaning
CLEANING,GLASS_FACADE_CLEANING,Glass Facade Cleaning
CLEANING,OFFICE_CLEANING,Office Cleaning
CLEANING,POST_CONSTRUCTION_CLEANING,Post-Construction Cleaning
CLEANING,MOVE_IN_CLEANING,Move-In Cleaning
CLEANING,MOVE_OUT_CLEANING,Move-Out Cleaning
CLEANING,SOCIETY_COMMON_AREA_CLEANING,Society Common Area Cleaning
CLEANING,PARKING_AREA_CLEANING,Parking Area Cleaning
CLEANING,GARDEN_CLEANING,Garden Cleaning
CLEANING,SWIMMING_POOL_CLEANING,Swimming Pool Cleaning
CLEANING,SOLAR_PANEL_CLEANING,Solar Panel Cleaning
CLEANING,CEILING_FAN_CLEANING,Ceiling Fan Cleaning
CLEANING,LIGHT_FIXTURE_CLEANING,Light Fixture Cleaning
